,Strain,SOK5,Orientation,Zone,oX,dX,oY,dY,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median)
64,0.11008085660141785,0.5621262354678116,anticlinal,boundary,1053.0,1072.0,1365.0,1369.0,0.5419868887357409,1.3944286497524132,1.4480310091569097,0.5556777743847668,1.3487646012584114,1.3745610130411625
65,0.0407712032668608,0.4514858832874508,periclinal,boundary,1053.0,1052.0,1365.0,1303.0,0.4208086034491175,1.1199705882627242,1.1630226770197813,0.1255179840008134,0.49954876274413784,0.5091031101649468
66,0.0917238256463442,0.5095294493554143,anticlinal,provascular,1052.0,1129.0,1303.0,1310.0,0.48438052517050517,1.2639553488950181,1.3125422657621784,0.4417476620872763,1.1238452619580543,1.145339876459736
67,0.0771447684102133,0.5245229801096705,anticlinal,boundary,963.0,989.0,1333.0,1312.0,0.5008021137807005,1.3011487896659852,1.3511654363225103,0.3512649673547243,0.9452155080943805,0.9632936578675102
68,0.09002381236024434,0.6018867924845751,anticlinal,provascular,1014.0,1052.0,1298.0,1303.0,0.5855344374047666,1.4930599826026731,1.5504537673719045,0.4311967889604294,1.10301586606897,1.124112098471181
69,0.07046026134250451,0.6615463521039333,anticlinal,provascular,1039.0,1129.0,1232.0,1235.0,0.6508762678776469,1.6410534294760648,1.7041361377554567,0.3097785939460144,0.8633136516941174,0.8798253502039936
70,0.07577350528202717,0.570012389330387,anticlinal,provascular,1072.0,1130.0,1162.0,1163.0,0.5506241588071118,1.4139912998983881,1.4683456548992284,0.34275443193284694,0.9284141202472178,0.9461709274235572
71,0.09056224964391782,0.597387847953787,periclinal,boundary,856.0,841.0,1164.0,1131.0,0.5806069911964264,1.4818997542561754,1.5388645356691064,0.4345385178241115,1.109613063534884,1.1308354736424442
72,0.09286628291752877,0.5082462207655299,periclinal,boundary,841.0,835.0,1131.0,1071.0,0.4829750755575152,1.2607721302565444,1.3092366830073672,0.4488381488615097,1.137843208316733,1.159605546917968
73,0.12542270709612038,0.5826514114745728,anticlinal,boundary,835.0,870.0,1071.0,1071.0,0.5644669837886825,1.4453440699181697,1.5009036371378102,0.6508946291141899,1.536740471940245,1.5661321018661813
74,0.07298008601564404,0.7416114400529776,anticlinal,provascular,870.0,935.0,1071.0,1090.0,0.7385671498912171,1.8396654945901953,1.910382925017764,0.3254175013860778,0.8941877784536323,0.9112899741389074
75,0.09777645248653309,0.3731565395495698,periclinal,ground,787.0,787.0,1220.0,1148.0,0.33501878649056516,0.9256642667769333,0.9612471477830621,0.4793123672558393,1.1980050121517878,1.2209180027377162
76,0.0800843727975874,0.4629586747529448,anticlinal,boundary,787.0,841.0,1148.0,1131.0,0.4333741201872895,1.1484303684734911,1.1925764618378842,0.3695091735547015,0.9812329816297658,1.0
77,0.08759373137310549,0.525386618482191,periclinal,ground,787.0,775.0,1148.0,1095.0,0.5017480093335198,1.3032911591440188,1.353390159285435,0.416114862017325,1.0732413229300881,1.0937680887443288
78,0.08034096518142217,0.5124700602062773,periclinal,ground,775.0,780.0,1095.0,1047.0,0.48760121430950865,1.2712499239557313,1.3201172470194917,0.3711016750423615,0.984376877262064,1.0032040256403494
79,0.152943922437057,0.3746921982727825,anticlinal,boundary,780.0,829.0,1047.0,1058.0,0.33670070892842047,0.9294736718265089,0.9652029877890773,0.821700853826129,1.8739438893325038,1.9097848568237092
80,0.12998762375684045,0.5296480821500122,periclinal,boundary,829.0,835.0,1058.0,1071.0,0.5064153558296337,1.3138622847264134,1.3643676428933034,0.6792260880008341,1.5926720679485076,1.6231334430923634
81,0.0944563383884878,0.41812468893899035,periclinal,ground,726.0,722.0,1207.0,1092.0,0.3842699243271452,1.0372137228929075,1.077084606758965,0.4587065855825107,1.1573253471688318,1.1794603002913617
82,0.08429376676826954,0.32858225114856204,anticlinal,ground,722.0,775.0,1092.0,1095.0,0.28619902290647636,0.8150918350579888,0.8464242703878327,0.39563413509983886,1.0328085394123852,1.0525619896071527
83,0.13698927680624345,0.2781852219427316,anticlinal,ground,664.0,719.0,1062.0,1069.0,0.23100193195048402,0.6900753228353652,0.7166020766261475,0.722680779564999,1.6784597523369134,1.7105618989173172
84,0.10472657354179674,0.6225043067840856,periclinal,ground,719.0,722.0,1069.0,1092.0,0.6081156655051106,1.5442044601451446,1.6035642577808455,0.5224472333594719,1.2831613012942509,1.3077029872793322
85,0.10784972840639775,0.6270821496194402,periclinal,ground,719.0,739.0,1069.0,1034.0,0.6131295246818748,1.555560406195892,1.615356730649726,0.5418306175961315,1.3214277252272892,1.3467012931347675
86,0.09691245455935674,0.34485228407591817,anticlinal,ground,739.0,780.0,1034.0,1047.0,0.30401869405575066,0.8554518086988555,0.8883356965272104,0.4739500959218252,1.1874188861375659,1.2101294069481219
87,0.07448433755004082,0.31044571499100215,periclinal,ground,786.0,780.0,1020.0,1047.0,0.26633507354892855,0.7701017527069575,0.7997047524258463,0.3347534090640092,0.9126186054259298,0.9300733082882396
