,Strain,SOK5,Orientation,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median),Stage,Experiment
53,0.0829948202079142,0.4810114456242516,periclinal,0.7909712820921557,1.4187936767632334,1.4231956705506912,0.3511618630364256,0.8532049246555843,0.8007568140737771,3,Ablated
54,0.1140017771406968,0.3919619664742679,anticlinal,0.5919437600881529,1.1561329041633426,1.159719958394662,0.5917486206550227,1.1719632313470054,1.0999204484477945,3,Ablated
55,0.0840881097087859,0.3938034282074525,anticlinal,0.5960594670986751,1.1615644885607848,1.1651683949963147,0.3596448295114453,0.8644441801161198,0.8113051713734876,3,Ablated
56,0.1257723920811028,0.4129672662447723,anticlinal,0.6388910617701021,1.2180902375366285,1.2218695225348757,0.6830782564470237,1.2929677302810405,1.213486573366876,3,Ablated
57,0.0892465173385766,0.3990390866250763,periclinal,0.6077612774951624,1.177007611846503,1.1806594326009898,0.3996695429593574,0.9174737400584482,0.861074904580659,3,Ablated
58,0.0749285369594335,0.4073536942494282,periclinal,0.6263446063108553,1.2015324185418783,1.2052603307312793,0.288574588284113,0.7702817666316291,0.7229310984533437,3,Ablated
59,0.0522360336396954,0.3494119428192834,periclinal,0.4968435321014199,1.0306271494520989,1.0338248055901105,0.1125006895206753,0.536997863652375,0.5039875955196597,3,Ablated
60,0.1137373190616515,0.2255769737350599,anticlinal,0.2200696837921701,0.6653629282008768,0.667427304102965,0.5896966581905515,1.1692445443874926,1.097368884286298,3,Ablated
61,0.0601899747030603,0.5123244311124033,periclinal,0.8609564854615934,1.5111546095753663,1.515843165291526,0.1742162875676796,0.6187661194143905,0.5807294028911917,3,Ablated
62,0.131557992627308,0.5745356892547786,anticlinal,1.0,1.6946532362272495,1.6999111205411876,0.7279694361685738,1.3524449707370856,1.2693076360461713,3,Ablated
63,0.1136319742455537,0.4645498572163085,anticlinal,0.7541792740943938,1.3702384963093504,1.3744898412701272,0.5888792749242143,1.1681615766112337,1.0963524885750195,3,Ablated
64,0.1547546156708827,0.5547002063661614,anticlinal,0.955667264483096,1.6361464003631,1.6412227595319686,0.9079548613056684,1.5909113348616966,1.4931150244965643,3,Ablated
65,0.043077980283126,0.3095372076679835,periclinal,0.4077226320862449,0.9130124385966188,0.9158451796416331,0.0414422374471127,0.4428510698583865,0.4156281821182809,3,Ablated
66,0.1285602487151435,0.5446276532300834,anticlinal,0.9331548892276412,1.6064363491193454,1.611420528950836,0.7047095758229737,1.3216275069205763,1.2403845796614423,3,Ablated
67,0.0636989979678021,0.4144236757575391,periclinal,0.6421461686962282,1.2223860700501552,1.226178683433175,0.2014432267188698,0.6548396469274147,0.6145854228566091,3,Ablated
