edge_id,strain,orientation,zone,o_x,d_x,o_y,d_y,normalized_strain,relative_strain_mean,relative_strain_median,stage
138,0.0399203447514909,anticlinal,boundary,1023,1111,1228,1205,0.2114535372332887,0.9251161259254636,1.0291507416368986,V
139,0.076067193572463,anticlinal,ground,914,991,1225,1217,0.6474963466223715,1.7627850627505202,1.961020356078316,V
140,0.0595306214207507,anticlinal,ground,991,1023,1217,1228,0.4480141340950562,1.3795656877598363,1.5347057638569852,V
141,0.0258096985104549,periclinal,provascular,1208,1237,1177,1086,0.0412354952758666,0.5981152829699586,0.6653767779013845,V
142,0.0409857834621622,anticlinal,provascular,1237,1306,1086,1081,0.2243060237925999,0.9498066574968484,1.056617865131995,V
143,0.027441909910721,periclinal,provascular,1184,1131,1176,1082,0.0609250136627635,0.6359402340495494,0.7074553617299799,V
144,0.0282272883692898,anticlinal,provascular,1131,1175,1082,1083,0.070399107274744,0.654140634910299,0.7277025020824317,V
145,0.0319996418726678,anticlinal,provascular,1175,1237,1083,1086,0.1159053595007296,0.74156134934529,0.8249541773844872,V
146,0.0349389652918645,periclinal,boundary,1125,1091,1189,1125,0.1513626921096524,0.8096773816926232,0.900730248348003,V
147,0.0253667387618862,periclinal,boundary,1091,1072,1125,1091,0.0358920305061215,0.587850110935805,0.6539572283811432,V
148,0.0494187158934668,anticlinal,boundary,1072,1091,1091,1080,0.3260332744015365,1.1452318681157614,1.274019761830968,V
149,0.0399933237398403,anticlinal,boundary,1091,1131,1080,1082,0.2123338895778006,0.9268073447612744,1.0310321477332454,V
150,0.0393666831248665,periclinal,ground,991,995,1217,1141,0.2047746653814187,0.9122855428660038,1.0148772859039037,V
151,0.0223913799836961,anticlinal,boundary,995,1091,1141,1125,0,0.5188989933226543,0.5772521620228206,V
152,0.0355330701419146,periclinal,ground,995,983,1141,1092,0.1585294343385683,0.8234451980953432,0.916046334690575,V
153,0.0420724570915316,anticlinal,boundary,983,1072,1092,1091,0.2374146691571264,0.9749892881681448,1.0846324270939391,V
154,0.0513281318901642,anticlinal,ground,879,983,1111,1092,0.3490667376950045,1.1894807727943428,1.3232447096947038,V
155,0.0255873868525343,periclinal,provascular,1175,1176,1083,993,0.0385537290073947,0.592963421156043,0.6596455596704859,V
156,0.0330435266167127,anticlinal,provascular,1176,1204,993,997,0.1284978385499028,0.7657523881836357,0.851865637323146,V
157,0.034857461876394,anticlinal,provascular,1204,1311,997,1009,0.1503795088055531,0.807788617343538,0.8986290816121041,V
158,0.0356544835654734,periclinal,boundary,1091,1100,1080,987,0.1599940557933548,0.8262588390279872,0.9191763856878308,V
159,0.0311740445377128,anticlinal,boundary,1100,1176,987,993,0.1059461018309698,0.7224289141711318,0.8036701901130434,V
160,0.0399493712818628,periclinal,ground,983,978,1092,1033,0.2118036869769883,0.92578878823572,1.0298990486829778,V
161,0.0348868445694859,periclinal,ground,978,985,1033,982,0.1507339549733685,0.8084695333870147,0.8993865705710555,V
162,0.0547008061190665,anticlinal,ground,985,1021,982,969,0.3897516215477697,1.2676392991315737,1.410192610710634,V
163,0.0447992565100182,anticlinal,boundary,1021,1100,969,987,0.2703083049195765,1.0381802783740068,1.1549296066724226,V
164,0.0349042417343081,anticlinal,ground,872,978,1019,1033,0.150943818595563,0.8088726961808883,0.8998350713340277,V
165,0.0371965781516617,anticlinal,ground,873,985,971,982,0.1785964866452281,0.8619954184154156,0.9589317484465826,V
166,0.0352237033356854,periclinal,provascular,1204,1221,997,902,0.1547975136948621,0.8162759157895332,0.9080708254596148,V
167,0.038682389816889,anticlinal,provascular,1221,1317,902,908,0.1965199713710368,0.8964276944928576,0.9972361315054084,V
168,0.0362297049951382,periclinal,boundary,1100,1170,987,895,0.1669330055605701,0.8395890500738461,0.9340056554406396,V
169,0.0362872244504312,anticlinal,boundary,1170,1221,895,902,0.1676268681156355,0.8409220088941479,0.9354885131274112,V
