,stage,Strain (\%),SOK2-YFP Intensity
1205503,st6,1.4849850383544216,0.3376345388126448
1205504,st6,1.3175156428924946,0.3254970120837802
1205505,st6,2.7810306394333772,0.4098272838276819
1205509,st6,1.3612329209304397,0.3060598039866873
1205564,st6,2.1929465008848514,0.2498127715847754
1205565,st6,2.5954170110881236,0.3153183312091263
1205569,st6,0.8933914483687935,0.2166325107005127
1205570,st6,1.6286012018533684,0.3422475333037426
1205571,st6,1.5955357047764227,0.2836980138463399
1205574,st6,2.2274246913217453,0.4380920681784105
1205575,st6,2.149865967859182,0.3410493407767061
1205591,st6,1.787298356033348,0.2805477435690107
1205596,st6,1.818497506754204,0.328346634551052
1205597,st6,1.9838922674527655,0.4172214331768856
1205600,st6,2.771000030585159,0.3068184126157878
1205601,st6,2.101350804985463,0.3280603761630029
1205602,st6,2.0260876017891607,0.4663714007036381
1205603,st6,2.623686907999599,0.3555134788947104
1205606,st6,3.098882728216738,0.3426113332538111
1205607,st6,1.8661287326391576,0.3719618852335843
1205608,st6,1.8800033842622779,0.3170893856560983
1205609,st6,2.0701472755302635,0.2618355182520541
1205610,st6,3.454103611811602,0.3225538515483148
1205613,st6,3.6760983117792967,0.3162596651700013
1205614,st6,2.6970246902523263,0.2914612721616119
1205615,st6,3.2660816029049897,0.3020354900157538
1205619,st6,2.270511618601918,0.2872565866838447
1205631,st6,2.4651539632647568,0.2400981184794291
1205632,st6,3.4503880601156744,0.2681786768047874
1205656,st6,2.41090817067998,0.1658665368300772
1205657,st6,2.1510323396677284,0.1858410188453449
1205660,st6,2.6172396710514674,0.2473800586159069
1205668,st6,2.531023300434451,0.2741987796231973
1205669,st6,4.041952098329897,0.2424095418762065
1205673,st6,2.905579945347777,0.2931871419643337
1205701,st6,3.0065453043537955,0.2697484509789609
1205702,st6,2.4374770761863296,0.1556521194666562
1205705,st6,2.115098105107659,0.3247325034880557
1205706,st6,4.035185608459542,0.3903205427805523
1205707,st6,3.088253045903643,0.2866659516199658
1205708,st6,1.0884719912042948,0.2330528832905318
1205709,st6,1.815282932276938,0.2534332897228914
1205714,st6,1.9606570229013929,0.3082901246757801
1205715,st6,2.2236033684166117,0.2506302080370471
1205719,st6,0.9346279767239827,0.2358325204519898
1205727,st6,3.0050408926477394,0.1929878293041194
1205728,st6,1.484952921053713,0.1915040909158423
1205734,st6,1.7317679423302361,0.0764178208131446
1205735,st6,1.732454855964369,0.0831796966263247
1205741,st6,2.103122423078608,0.2048109999388651
1205742,st6,1.8464489520619014,0.2336723052842667
1205745,st6,0.6159652448095305,0.1280003918848389
1205746,st6,2.1432555764821877,0.1752642920647915
1205747,st6,1.2437463728355134,0.1156311818683666
1205752,st6,0.7359214335157276,0.0257969749859079
1205753,st6,0.714697394045819,0.0691931028102395
