,stage,Strain (\%),SOK2-YFP Intensity
1205590,st6,1.042371671211001,0.2963501536328287
1205596,st6,1.818497506754204,0.328346634551052
1205597,st6,1.9838922674527655,0.4172214331768856
1205600,st6,2.771000030585159,0.3068184126157878
1205601,st6,2.101350804985463,0.3280603761630029
1205602,st6,2.0260876017891607,0.4663714007036381
1205603,st6,2.623686907999599,0.3555134788947104
1205606,st6,3.098882728216738,0.3426113332538111
1205607,st6,1.8661287326391576,0.3719618852335843
1205608,st6,1.8800033842622779,0.3170893856560983
1205609,st6,2.0701472755302635,0.2618355182520541
1205610,st6,3.454103611811602,0.3225538515483148
1205613,st6,3.6760983117792967,0.3162596651700013
1205708,st6,1.0884719912042948,0.2330528832905318
1205709,st6,1.815282932276938,0.2534332897228914
1205727,st6,3.0050408926477394,0.1929878293041194
1205728,st6,1.484952921053713,0.1915040909158423
1205734,st6,1.7317679423302361,0.0764178208131446
1205735,st6,1.732454855964369,0.0831796966263247
