,stage,Strain (\%),SOK2-YFP Intensity
1205662,st6,3.3888946868091665,0.1014531921454433
1205667,st6,3.2421242523366804,0.1667192833582447
1205668,st6,2.531023300434451,0.2741987796231973
1205669,st6,4.041952098329897,0.2424095418762065
1205673,st6,2.905579945347777,0.2931871419643337
1205674,st6,2.2766765401796043,0.1945026618399836
1205675,st6,3.7087763994684297,0.1696995606893928
1205678,st6,1.6966505910294627,0.1580304824452496
1205679,st6,3.2423060419080025,0.1417480686596636
1205683,st6,1.8449333735455313,0.2205646308243168
1205684,st6,3.20119873416932,0.31567009975324
1205688,st6,3.1117051061025616,0.2569929030208717
1205689,st6,3.8438080765370017,0.1903209170764114
1205693,st6,2.4649264428932187,0.2208971208500347
1205694,st6,3.488214532468186,0.2593145492860369
1205695,st6,2.468728262408991,0.2522098439237417
1205696,st6,3.846638502035167,0.296404326291596
1205701,st6,3.0065453043537955,0.2697484509789609
1205702,st6,2.4374770761863296,0.1556521194666562
1205705,st6,2.115098105107659,0.3247325034880557
1205706,st6,4.035185608459542,0.3903205427805523
1205707,st6,3.088253045903643,0.2866659516199658
1205714,st6,1.9606570229013929,0.3082901246757801
1205715,st6,2.2236033684166117,0.2506302080370471
1205719,st6,0.9346279767239827,0.2358325204519898
1205720,st6,3.271238862759488,0.2055528128401981
1205721,st6,3.374697979311737,0.2004379817712117
1205726,st6,2.0068160969016735,0.1431469809748896
1205741,st6,2.103122423078608,0.2048109999388651
1205742,st6,1.8464489520619014,0.2336723052842667
1205745,st6,0.6159652448095305,0.1280003918848389
1205746,st6,2.1432555764821877,0.1752642920647915
1205747,st6,1.2437463728355134,0.1156311818683666
1205752,st6,0.7359214335157276,0.0257969749859079
1205753,st6,0.714697394045819,0.0691931028102395
1205756,st6,-0.3221536027503399,0.0892644828373784
1205757,st6,0.6975018948629934,0.1399639299853691
1205758,st6,3.2237157370576157,0.2148792994074561
1205759,st6,2.8210022034857727,0.1627964844470691
